"split","acc_mean","acc_std","run_name"
"train","84.32222222222222","9.556065877845779","rose-surf-821"
"val","57.88666666666666","10.042821648653662","rose-surf-821"
"test","49.99777777777778","8.04100571069976","rose-surf-821"
"train","71.56888888888888","10.805660153735387","royal-thunder-826"
"val","65.82444444444444","10.011785400895299","royal-thunder-826"
"test","52.153333333333336","8.409001349964436","royal-thunder-826"
"train","86.16222222222223","9.133920229859253","scarlet-pond-760"
"val","70.05555555555556","8.632575399305317","scarlet-pond-760"
"test","65.08888888888887","7.434421112901165","scarlet-pond-760"
"train","93.35555555555555","6.733846698435056","serene-pine-815"
"val","68.2511111111111","10.25536438969538","serene-pine-815"
"test","62.66888888888888","7.362970079734246","serene-pine-815"
"train","94.69555555555554","6.141231227339866","silver-dream-780"
"val","68.7","9.756688114466042","silver-dream-780"
"test","63.10222222222222","7.7321787132942665","silver-dream-780"
"train","71.59111111111112","13.080669745378266","silver-leaf-748"
"val","54.94222222222223","12.441552044819433","silver-leaf-748"
"test","56.30444444444444","11.792994572527128","silver-leaf-748"
"train","65.61555555555556","14.122230264881003","skilled-blaze-680"
"val","54.88","12.111169011074645","skilled-blaze-680"
"test","53.653333333333336","11.491889571603355","skilled-blaze-680"
"train","95.06","5.966023553174849","skilled-flower-784"
"val","69.75555555555556","9.801259682205378","skilled-flower-784"
"test","62.917777777777786","7.467404394772103","skilled-flower-784"
"train","65.96222222222222","14.815559222038443","smart-pine-742"
"val","54.15777777777778","11.983890215258066","smart-pine-742"
"test","54.45777777777777","12.014962688042845","smart-pine-742"
"train","84.26666666666667","11.413052956057719","smart-river-735"
"val","53.768888888888895","12.920035928551505","smart-river-735"
"test","55.10888888888888","11.916375080607711","smart-river-735"
"train","71.19111111111111","10.863076889453229","smooth-wind-782"
"val","66.31555555555556","9.814636588179141","smooth-wind-782"
"test","53","8.45528543881588","smooth-wind-782"
"train","65.79777777777777","14.1812811763419","solar-eon-730"
"val","55.448888888888895","12.819602274218019","solar-eon-730"
"test","53.64666666666667","12.664077513157414","solar-eon-730"
"train","77.77777777777777","11.59838217751952","solar-field-716"
"val","53.57555555555556","11.583026961042908","solar-field-716"
"test","56.96","11.830777188709492","solar-field-716"
"train","86.83333333333333","8.635092055954866","solar-shape-764"
"val","68.46222222222221","8.601445758464239","solar-shape-764"
"test","63.79777777777779","7.191187679856059","solar-shape-764"
"train","86.86222222222221","10.620886945362562","sparkling-glade-661"
"val","55.53111111111111","13.083073410959033","sparkling-glade-661"
"test","54.33333333333333","12.545679498300364","sparkling-glade-661"
"train","74.83777777777777","12.360644635392976","splendid-frog-666"
"val","54.22666666666667","12.253937840245174","splendid-frog-666"
"test","55.335555555555544","11.729544632420758","splendid-frog-666"
"train","75.85555555555555","10.333972501140158","still-butterfly-810"
"val","66.76444444444445","9.965090671878778","still-butterfly-810"
"test","54.266666666666666","8.381284264713011","still-butterfly-810"
"train","71.19111111111111","11.482053414667778","still-violet-790"
"val","66.01111111111112","9.769485119809172","still-violet-790"
"test","53.34","8.601978239313887","still-violet-790"
"train","74.67333333333333","12.27837424393287","stilted-blaze-704"
"val","54.08222222222223","11.45499642993731","stilted-blaze-704"
"test","55.79555555555556","10.872172202235472","stilted-blaze-704"
"train","93.28","6.375192662302959","sweet-brook-759"
"val","66.80666666666667","9.774704314936818","sweet-brook-759"
"test","58.36444444444444","7.688215770150773","sweet-brook-759"
"train","94.94666666666667","6.33334269005157","swept-vortex-792"
"val","68.44","9.442011712828213","swept-vortex-792"
"test","62.25333333333333","7.6024050775371705","swept-vortex-792"
"train","78.00666666666666","11.173776840839848","toasty-donkey-789"
"val","58.02","11.213994563672397","toasty-donkey-789"
"test","48.651111111111106","8.289559400940945","toasty-donkey-789"
"train","71.57555555555555","11.525713389452406","treasured-elevator-762"
"val","66.10444444444445","10.00152852515585","treasured-elevator-762"
"test","52.922222222222224","8.523598324361709","treasured-elevator-762"
"train","77.62444444444445","14.034708123034317","treasured-surf-729"
"val","50.98444444444445","12.812137570905273","treasured-surf-729"
"test","47.27777777777778","11.304926272412898","treasured-surf-729"
"train","71.7688888888889","11.18172759902357","upbeat-monkey-766"
"val","65.52444444444446","9.930077517631613","upbeat-monkey-766"
"test","51.66444444444445","8.446958397721602","upbeat-monkey-766"
"train","93.35333333333334","6.678404111872948","usual-leaf-779"
"val","67.27777777777779","9.309964129832371","usual-leaf-779"
"test","61.65777777777779","7.596972756416098","usual-leaf-779"
"train","74.44222222222221","13.70504079562978","usual-rain-692"
"val","52.22666666666667","13.235044389800889","usual-rain-692"
"test","53.2","11.961914872101682","usual-rain-692"
"train","94.60666666666667","6.293037893253619","valiant-dawn-796"
"val","68.88666666666667","10.03042261212247","valiant-dawn-796"
"test","64.44","7.407035694377189","valiant-dawn-796"
"train","73.16","10.691895165134301","valiant-tree-786"
"val","65.47555555555554","10.700387439622208","valiant-tree-786"
"test","54.08888888888889","8.241419031594074","valiant-tree-786"
"train","82.26444444444444","11.39387728151277","vibrant-donkey-676"
"val","54.45777777777778","13.068171493091125","vibrant-donkey-676"
"test","55.14444444444445","11.889361361328325","vibrant-donkey-676"
"train","72.68222222222221","11.402653145888115","visionary-cosmos-818"
"val","66.41555555555556","10.049612977008334","visionary-cosmos-818"
"test","54.344444444444456","8.353302001064469","visionary-cosmos-818"
"train","80.38444444444444","12.017902489490984","visionary-fog-682"
"val","55.10666666666667","12.785021328506666","visionary-fog-682"
"test","55.86888888888889","10.99564874657356","visionary-fog-682"
"train","75.69555555555556","10.390839032651268","visionary-planet-785"
"val","58.35777777777778","10.400113722075291","visionary-planet-785"
"test","53.78666666666667","8.611558124598204","visionary-planet-785"
"train","77.80666666666667","11.928600551242846","vital-hill-694"
"val","53.95555555555555","12.01694277178047","vital-hill-694"
"test","56.3","11.405343127317646","vital-hill-694"
"train","64.04444444444445","14.132215189871669","vital-spaceship-667"
"val","52.37777777777778","12.181811983850208","vital-spaceship-667"
"test","54.148888888888884","12.251018803691187","vital-spaceship-667"
"train","65.69555555555556","13.657690096258301","wild-deluge-737"
"val","54.231111111111105","13.078223158657844","wild-deluge-737"
"test","55.34","12.714993773756504","wild-deluge-737"
"train","75.98666666666666","12.671804805829241","wild-glade-732"
"val","54.788888888888884","12.254094805662834","wild-glade-732"
"test","55.975555555555545","10.864116719677003","wild-glade-732"
"train","76.24444444444445","11.017539327794848","wild-plasma-769"
"val","56.788888888888884","10.141657156330183","wild-plasma-769"
"test","47.56666666666667","8.356080066279528","wild-plasma-769"
"train","68.07111111111111","13.369982224795889","wild-violet-757"
"val","52.58222222222223","12.749389915202865","wild-violet-757"
"test","50.48444444444445","11.470386132327514","wild-violet-757"
"train","81.63777777777779","9.73755134378451","wise-sponge-827"
"val","68.56888888888888","8.956317585445372","wise-sponge-827"
"test","60.32444444444445","7.346750016331652","wise-sponge-827"
"train","83.25333333333333","11.724724114261946","wobbly-surf-740"
"val","51.57111111111111","12.727912555666437","wobbly-surf-740"
"test","55.74666666666667","10.802241194067776","wobbly-surf-740"
"train","60.25333333333333","13.768061807165376","wobbly-yogurt-664"
"val","53.45111111111111","11.812400055100081","wobbly-yogurt-664"
"test","51.57333333333333","11.906619385248911","wobbly-yogurt-664"
"train","85.19555555555554","11.248518366082655","worthy-glitter-723"
"val","54.47555555555556","12.543456116956948","worthy-glitter-723"
"test","55.90888888888888","11.730075094746624","worthy-glitter-723"
"train","62.88888888888889","13.6664317956331","woven-aardvark-718"
"val","54.49333333333333","12.388986746001166","woven-aardvark-718"
"test","54.228888888888896","11.50771957759413","woven-aardvark-718"
"train","63.306666666666665","14.023235744318809","woven-serenity-726"
"val","53.77555555555556","12.141267043933214","woven-serenity-726"
"test","51.728888888888896","10.759759508992662","woven-serenity-726"
"train","77.54222222222222","11.045129422085434","youthful-darkness-801"
"val","58.92888888888888","10.982112504510614","youthful-darkness-801"
"test","49.755555555555546","8.42884524112084","youthful-darkness-801"
"train","92.34888888888888","7.211085772939563","youthful-monkey-776"
"val","68.92","8.919116382077153","youthful-monkey-776"
"test","64.34444444444443","7.248184106347338","youthful-monkey-776"
"train","76.26444444444444","10.647399033230581","youthful-shape-830"
"val","64.44888888888889","10.315323852058135","youthful-shape-830"
"test","52.44222222222223","7.635200806660208","youthful-shape-830"
"train","64.4","14.325320757833481","zany-cosmos-749"
"val","53.52444444444445","12.289793818399293","zany-cosmos-749"
"test","51.553333333333335","11.594591970525007","zany-cosmos-749"
"train","79.91555555555554","11.444111322012613","zany-water-690"
"val","55.24666666666667","11.667424102396602","zany-water-690"
"test","56.331111111111106","11.426803880069887","zany-water-690"